"subject","version","assignmentId","word","word_ind","s1_value","s2_value","exposures","stamp","id"
"A1NTTV6SBV1EQS","cs_wg_v7_pilot9","3RUIQRXJBBPXRRNL0WRJFGA9E4NLLP","POPCORN","10","11","15","0","2018-05-25 15:55:24","57436"
"AYRWBQRHMUWWQ","cs_wg_v7_pilot9","3SBEHTYCWN4F1PMEY8JWH8KD6FXYIG","LIPSTICK","3","11","18","0","2018-05-25 15:55:24","57437"
"AYRWBQRHMUWWQ","cs_wg_v7_pilot9","3SBEHTYCWN4F1PMEY8JWH8KD6FXYIG","RABIES","4","25","18","0","2018-05-25 15:55:24","57438"
"AYRWBQRHMUWWQ","cs_wg_v7_pilot9","3SBEHTYCWN4F1PMEY8JWH8KD6FXYIG","MAILMAN","0","18","14","0","2018-05-25 15:55:24","57439"
"AYRWBQRHMUWWQ","cs_wg_v7_pilot9","3SBEHTYCWN4F1PMEY8JWH8KD6FXYIG","FILMMAKER","5","15","16","0","2018-05-25 15:55:24","57440"
"AYRWBQRHMUWWQ","cs_wg_v7_pilot9","3SBEHTYCWN4F1PMEY8JWH8KD6FXYIG","DOGSLED","1","20","15","0","2018-05-25 15:55:24","57441"
"AYRWBQRHMUWWQ","cs_wg_v7_pilot9","3SBEHTYCWN4F1PMEY8JWH8KD6FXYIG","WEAPON","2","26","11","0","2018-05-25 15:55:24","57442"
"AYRWBQRHMUWWQ","cs_wg_v7_pilot9","3SBEHTYCWN4F1PMEY8JWH8KD6FXYIG","UNHAPPY","9","19","11","0","2018-05-25 15:55:24","57444"
"AYRWBQRHMUWWQ","cs_wg_v7_pilot9","3SBEHTYCWN4F1PMEY8JWH8KD6FXYIG","INFERNO","6","21","9","0","2018-05-25 15:55:24","57445"
"AYRWBQRHMUWWQ","cs_wg_v7_pilot9","3SBEHTYCWN4F1PMEY8JWH8KD6FXYIG","STEREOTYPE","7","22","2","0","2018-05-25 15:55:24","57443"
"AYRWBQRHMUWWQ","cs_wg_v7_pilot9","3SBEHTYCWN4F1PMEY8JWH8KD6FXYIG","SMOKER","8","12","16","0","2018-05-25 15:55:24","57446"
"AYRWBQRHMUWWQ","cs_wg_v7_pilot9","3SBEHTYCWN4F1PMEY8JWH8KD6FXYIG","POPCORN","10","11","12","0","2018-05-25 15:55:24","57447"
"AYRWBQRHMUWWQ","cs_wg_v7_pilot9","3SBEHTYCWN4F1PMEY8JWH8KD6FXYIG","GOLDEN","11","15","23","0","2018-05-25 15:55:24","57448"
"A1VP12LE0ZWG24","cs_wg_v7_pilot9","3R8YZBNQ9HJ933EWO7Y5DXR2TQ5Q7A","MAILMAN","0","9","14","0","2018-05-25 15:55:33","57449"
"A1VP12LE0ZWG24","cs_wg_v7_pilot9","3R8YZBNQ9HJ933EWO7Y5DXR2TQ5Q7A","DOGSLED","1","7","15","0","2018-05-25 15:55:33","57450"
"A1VP12LE0ZWG24","cs_wg_v7_pilot9","3R8YZBNQ9HJ933EWO7Y5DXR2TQ5Q7A","WEAPON","2","1","11","0","2018-05-25 15:55:33","57451"
"A1VP12LE0ZWG24","cs_wg_v7_pilot9","3R8YZBNQ9HJ933EWO7Y5DXR2TQ5Q7A","LIPSTICK","3","16","18","0","2018-05-25 15:55:33","57452"
"A1VP12LE0ZWG24","cs_wg_v7_pilot9","3R8YZBNQ9HJ933EWO7Y5DXR2TQ5Q7A","SMOKER","8","15","16","0","2018-05-25 15:55:33","57453"
"A1VP12LE0ZWG24","cs_wg_v7_pilot9","3R8YZBNQ9HJ933EWO7Y5DXR2TQ5Q7A","FILMMAKER","5","12","16","0","2018-05-25 15:55:33","57454"
"A1VP12LE0ZWG24","cs_wg_v7_pilot9","3R8YZBNQ9HJ933EWO7Y5DXR2TQ5Q7A","INFERNO","6","6","9","0","2018-05-25 15:55:33","57455"
"A1VP12LE0ZWG24","cs_wg_v7_pilot9","3R8YZBNQ9HJ933EWO7Y5DXR2TQ5Q7A","STEREOTYPE","7","5","2","0","2018-05-25 15:55:33","57456"
"A1VP12LE0ZWG24","cs_wg_v7_pilot9","3R8YZBNQ9HJ933EWO7Y5DXR2TQ5Q7A","RABIES","4","2","18","0","2018-05-25 15:55:33","57457"
"A1VP12LE0ZWG24","cs_wg_v7_pilot9","3R8YZBNQ9HJ933EWO7Y5DXR2TQ5Q7A","UNHAPPY","9","8","11","0","2018-05-25 15:55:33","57458"
"A1VP12LE0ZWG24","cs_wg_v7_pilot9","3R8YZBNQ9HJ933EWO7Y5DXR2TQ5Q7A","GOLDEN","11","12","23","0","2018-05-25 15:55:33","57459"
"A1VP12LE0ZWG24","cs_wg_v7_pilot9","3R8YZBNQ9HJ933EWO7Y5DXR2TQ5Q7A","POPCORN","10","16","12","0","2018-05-25 15:55:33","57460"
"A1P9WP2HVMPAV1","cs_wg_v7_pilot9","3UXUOQ9OKEYHGN7FZB1JNXCXP8KA7O","WEAPON","2","26","11","0","2018-05-25 15:55:36","57462"
"A1P9WP2HVMPAV1","cs_wg_v7_pilot9","3UXUOQ9OKEYHGN7FZB1JNXCXP8KA7O","RABIES","4","25","18","0","2018-05-25 15:55:36","57463"
"A1P9WP2HVMPAV1","cs_wg_v7_pilot9","3UXUOQ9OKEYHGN7FZB1JNXCXP8KA7O","DOGSLED","1","20","15","0","2018-05-25 15:55:36","57461"
"A1P9WP2HVMPAV1","cs_wg_v7_pilot9","3UXUOQ9OKEYHGN7FZB1JNXCXP8KA7O","FILMMAKER","5","15","16","0","2018-05-25 15:55:36","57464"
"A1P9WP2HVMPAV1","cs_wg_v7_pilot9","3UXUOQ9OKEYHGN7FZB1JNXCXP8KA7O","MAILMAN","0","18","14","0","2018-05-25 15:55:36","57465"
"A1P9WP2HVMPAV1","cs_wg_v7_pilot9","3UXUOQ9OKEYHGN7FZB1JNXCXP8KA7O","LIPSTICK","3","11","18","0","2018-05-25 15:55:36","57466"
"A1P9WP2HVMPAV1","cs_wg_v7_pilot9","3UXUOQ9OKEYHGN7FZB1JNXCXP8KA7O","INFERNO","6","21","9","0","2018-05-25 15:55:37","57467"
