Subj,Trial,OptionID,Choice,numExposures,MFval,MBval,nPrevChosen
5,6,7,0,4,8,17,0
5,6,8,1,5,4,14,0
5,6,9,0,4,10,14,0
5,6,10,0,7,0,20,0
5,6,11,0,6,0,14,1
5,6,12,0,4,7,19,0
5,6,13,0,6,6,4,1
5,6,14,0,8,7,4,0
5,6,15,0,7,1,14,0
5,6,16,0,7,1,4,1
5,6,17,0,5,3,19,0
5,6,18,0,5,9,11,1
5,6,19,0,6,3,14,0
5,6,20,0,4,10,12,0
5,7,1,0,5,9,6,0
5,7,2,0,7,8,8,0
5,7,3,0,8,2,12,0
5,7,4,0,8,2,1,1
5,7,5,0,8,4,11,0
5,7,6,0,6,6,1,0
5,7,7,0,4,8,0,0
5,7,8,0,5,4,6,1
5,7,9,0,4,10,5,0
5,7,10,0,7,0,3,0
5,7,11,0,6,0,8,1
5,7,12,0,4,7,18,0
5,7,13,0,6,6,5,1
5,7,14,0,8,7,13,0
5,7,15,0,7,1,1,0
5,7,16,0,7,1,6,1
5,7,17,0,5,3,12,0
5,7,18,0,5,9,8,1
5,7,19,1,6,3,18,0
5,7,20,0,4,10,13,0
5,8,1,0,5,9,15,0
5,8,2,0,7,8,7,0
5,8,3,0,8,2,3,0
5,8,4,0,8,2,13,1
5,8,5,0,8,4,19,0
5,8,6,0,6,6,5,0
5,8,7,0,4,8,3,0
5,8,8,0,5,4,19,1
5,8,9,1,4,10,22,0
5,8,10,0,7,0,2,0
5,8,11,0,6,0,11,1
5,8,12,0,4,7,17,0
5,8,13,0,6,6,5,1
5,8,14,0,8,7,14,0
5,8,15,0,7,1,7,0
5,8,16,0,7,1,12,1
5,8,17,0,5,3,2,0
5,8,18,0,5,9,7,1
5,8,19,0,6,3,1,1
5,8,20,0,4,10,7,0
6,1,1,0,7,10,3,0
6,1,2,0,5,4,1,0
6,1,3,0,6,3,2,0
6,1,4,0,5,8,2,0
6,1,5,0,8,3,1,0
6,1,6,0,6,7,2,0
6,1,7,0,5,6,2,0
6,1,8,0,4,9,2,0
6,1,9,0,8,8,0,0
6,1,10,0,6,9,4,0
6,1,11,1,7,0,5,0
6,1,12,0,4,7,2,0
6,1,13,0,4,0,3,0
6,1,14,0,8,2,2,0
6,1,15,0,5,1,3,0
6,1,16,0,7,6,3,0
6,1,17,0,7,2,1,0
6,1,18,0,8,1,4,0
6,1,19,0,6,10,4,0
6,1,20,0,4,4,4,0
6,2,1,0,7,10,2,0
6,2,2,0,5,4,4,0
6,2,3,0,6,3,6,0
6,2,4,0,5,8,0,0
6,2,5,0,8,3,3,0
6,2,6,0,6,7,3,0
6,2,7,0,5,6,3,0
6,2,8,0,4,9,3,0
6,2,9,0,8,8,2,0
6,2,10,0,6,9,3,0
6,2,11,0,7,0,4,1
6,2,12,0,4,7,3,0
6,2,13,0,4,0,1,0
6,2,14,0,8,2,2,0
6,2,15,0,5,1,2,0
6,2,16,1,7,6,6,0
6,2,17,0,7,2,4,0
6,2,18,0,8,1,3,0
6,2,19,0,6,10,3,0
6,2,20,0,4,4,0,0
6,3,1,0,7,10,1,0
6,3,2,0,5,4,4,0
6,3,3,0,6,3,1,0
6,3,4,0,5,8,4,0
6,3,5,0,8,3,4,0
6,3,6,0,6,7,2,0
6,3,7,0,5,6,2,0
6,3,8,1,4,9,3,0
6,3,9,0,8,8,5,0
6,3,10,0,6,9,1,0
6,3,11,0,7,0,0,1
6,3,12,0,4,7,4,0
6,3,13,0,4,0,3,0
6,3,14,0,8,2,4,0
6,3,15,0,5,1,2,0
6,3,16,0,7,6,1,1
6,3,17,0,7,2,2,0
6,3,18,0,8,1,1,0
6,3,19,0,6,10,1,0
6,3,20,0,4,4,4,0
6,4,1,0,7,10,2,0
6,4,2,0,5,4,4,0
6,4,3,0,6,3,4,0
6,4,4,0,5,8,3,0
6,4,5,1,8,3,4,0
