"subject","version","assignmentId","cond","question","question_ind","all_values","question_order","comp_check","comp_check_pass","comp_check_rt","choice","scratch","rt","stamp","id"
"ATGUAXNWCW8NI","cs_wg_v6_pilot2","3KJYX6QCM9CUS6BFBFHCMAVILCIVJU","test","Most letters in the set: T, P, O, K, I, C, H.","1","[10,40,0,40,40,0,30,20,60,30,30,30,20,20]","4","30","1","29915","WEDDING",,"21000","2017-09-26 20:42:27","6738"
"A3EJ44J2ZNRMDA","cs_wg_v6_pilot2","3BF51CHDTVBI8ZF9KIQ2P4PDEO20H3","test","Most letters in alphabet between word's 4th and 5th letters","4","[25,60,5,40,40,65,90,25,30,0,90,5,65,30]","3","40","0","32099","umbrella
",,"26000","2017-09-26 20:42:29","6739"
"A2FLOH4DM8A4ZS","cs_wg_v6_pilot2","3AAPLD8UCCIJO8C0IKEC9FRIBZYTH7","test","Most letters in the set: S, G, E, F, B, N, L.","0","[30,10,20,10,50,40,40,0,30,20,20,20,20,30]","1","60","1","48941","Football",,"21000","2017-09-26 20:42:38","6740"
"ATGUAXNWCW8NI","cs_wg_v6_pilot2","3KJYX6QCM9CUS6BFBFHCMAVILCIVJU","test","Most letters in alphabet between word's 4th and 5th letters","4","[25,60,5,40,40,65,90,25,30,0,90,5,65,30]","5","60","0","9039",,,"26000","2017-09-26 20:43:04","6741"
"A2TVJTQ4VXATE6","cs_wg_v6_pilot2","3OHYZ19UGC6O1TZEGXILYJYRZWSAOS","test","Most horizontal lines","7","[60,30,50,30,70,60,60,10,110,80,50,70,40,50]","7","70","1","106485","KEYBOARD",,"31000","2017-09-26 20:43:09","6742"
"A3EJ44J2ZNRMDA","cs_wg_v6_pilot2","3BF51CHDTVBI8ZF9KIQ2P4PDEO20H3","test","Most letters in alphabet between word's 5th and 6th letters","5","[25,10,65,35,55,35,5,110,60,15,85,25,70,75]","4","25","1","35688","bookshelf",,"26000","2017-09-26 20:43:33","6743"
"ATGUAXNWCW8NI","cs_wg_v6_pilot2","3KJYX6QCM9CUS6BFBFHCMAVILCIVJU","test","Most vertical lines","6","[60,50,50,90,70,80,50,30,90,50,50,80,60,40]","6","30","0","5552","DUMP",,"31000","2017-09-26 20:43:43","6744"
"A3H9A9RWEEL8FY","cs_wg_v6_pilot2","3WETL7AQWT929YUB237C25KUCRV35K","test","Memory","8",NULL,"8","100","1","16753","[""Umbrella"",""Staircase"","""","""","""","""","""","""","""","""","""","""","""",""""]",,"181000","2017-09-26 20:43:45","6745"
"A3TCFIPOBRZZB3","cs_wg_v6_pilot2","3FDJT1UU74985W2IN9ZBJR1WNDH5KX","test","Most letters in the set: T, P, O, K, I, C, H.","1","[10,40,0,40,40,0,30,20,60,30,30,30,20,20]","0","30","1","39569","football",,"21000","2017-09-26 20:43:56","6746"
"ATGUAXNWCW8NI","cs_wg_v6_pilot2","3KJYX6QCM9CUS6BFBFHCMAVILCIVJU","test","Most letters in alphabet between word's 5th and 6th letters","5","[25,10,65,35,55,35,5,110,60,15,85,25,70,75]","7","30","0","4633","FOOTBALL",,"26000","2017-09-26 20:44:15","6747"
"A2FLOH4DM8A4ZS","cs_wg_v6_pilot2","3AAPLD8UCCIJO8C0IKEC9FRIBZYTH7","test","Most vertical lines","6","[60,50,50,90,70,80,50,30,90,50,50,80,60,40]","2","40","1","76204","Wedding",,"31000","2017-09-26 20:44:27","6748"
"A3EJ44J2ZNRMDA","cs_wg_v6_pilot2","3BF51CHDTVBI8ZF9KIQ2P4PDEO20H3","test","Most letters before word's second letter in alphabet","3","[20,95,0,70,70,60,70,70,20,85,95,0,20,0]","5","20","1","50707","stomach",,"16000","2017-09-26 20:44:42","6749"
"A3TCFIPOBRZZB3","cs_wg_v6_pilot2","3FDJT1UU74985W2IN9ZBJR1WNDH5KX","test","Most letters in the set: S, G, E, F, B, N, L.","0","[30,10,20,10,50,40,40,0,30,20,20,20,20,30]","1","60","1","73020","umbrella",,"21000","2017-09-26 20:45:32","6750"
"A3EJ44J2ZNRMDA","cs_wg_v6_pilot2","3BF51CHDTVBI8ZF9KIQ2P4PDEO20H3","test","Most vertical lines","6","[60,50,50,90,70,80,50,30,90,50,50,80,60,40]","6","60","0","32438","community",,"31000","2017-09-26 20:45:47","6751"
"A2TVJTQ4VXATE6","cs_wg_v6_pilot2","3OHYZ19UGC6O1TZEGXILYJYRZWSAOS","test","Memory","8",NULL,"8","100","1","18503","[""Umbrella"",""keyboard"",""ladder"",""wedding"",""stomach"",""doorway"",""machine"",""community"",""traffic"","""","""","""","""",""""]",,"181000","2017-09-26 20:46:30","6752"
"A2FLOH4DM8A4ZS","cs_wg_v6_pilot2","3AAPLD8UCCIJO8C0IKEC9FRIBZYTH7","test","Most horizontal lines","7","[60,30,50,30,70,60,60,10,110,80,50,70,40,50]","3","70","1","97235","Football",,"31000","2017-09-26 20:46:37","6753"
"A3EJ44J2ZNRMDA","cs_wg_v6_pilot2","3BF51CHDTVBI8ZF9KIQ2P4PDEO20H3","test","Most letters come after the word's third letter in the alphabet.","2","[115,60,115,70,60,125,60,60,75,130,45,120,10,40]","7","25","1","59998","traffic",,"16000","2017-09-26 20:47:05","6754"
"A3TCFIPOBRZZB3","cs_wg_v6_pilot2","3FDJT1UU74985W2IN9ZBJR1WNDH5KX","test","Most letters in alphabet between word's 5th and 6th letters","5","[25,10,65,35,55,35,5,110,60,15,85,25,70,75]","2","25","1","96449","keyboard",,"26000","2017-09-26 20:47:36","6755"
"ATGUAXNWCW8NI","cs_wg_v6_pilot2","3KJYX6QCM9CUS6BFBFHCMAVILCIVJU","test","Memory","8",NULL,"8","100","1","24965","[""WEDDING"",""STRUCTURE"",""OBJECT"",""LADDER"",""FOOTBALL"","""","""","""","""","""","""","""","""",""""]",,"181000","2017-09-26 20:47:43","6756"
"A2FLOH4DM8A4ZS","cs_wg_v6_pilot2","3AAPLD8UCCIJO8C0IKEC9FRIBZYTH7","test","Most letters in alphabet between word's 4th and 5th letters","4","[25,60,5,40,40,65,90,25,30,0,90,5,65,30]","4","15","1","70481","Structure",,"26000","2017-09-26 20:48:16","6757"
"A3TCFIPOBRZZB3","cs_wg_v6_pilot2","3FDJT1UU74985W2IN9ZBJR1WNDH5KX","test","Most letters before word's second letter in alphabet","3","[20,95,0,70,70,60,70,70,20,85,95,0,20,0]","3","20","1","62442","structure",,"16000","2017-09-26 20:48:57","6758"
"A2FLOH4DM8A4ZS","cs_wg_v6_pilot2","3AAPLD8UCCIJO8C0IKEC9FRIBZYTH7","test","Most letters in the set: T, P, O, K, I, C, H.","1","[10,40,0,40,40,0,30,20,60,30,30,30,20,20]","5","30","1","59476","Football",,"21000","2017-09-26 20:49:38","6759"
