Subj,Trial,OptionID,Choice,MFval,MBval,nPrevChosen
2,9,14,0,6,13,1
2,9,15,1,3,12,0
2,9,16,0,3,2,0
2,9,17,0,2,7,0
2,9,18,0,2,20,1
2,9,19,0,6,12,0
2,9,20,0,3,16,1
2,9,21,0,3,18,0
2,9,22,0,7,9,0
2,9,23,0,5,12,0
2,9,24,0,5,4,0
2,9,25,0,5,14,0
2,9,26,0,6,16,1
2,9,27,0,4,9,0
2,9,28,0,4,5,0
2,9,29,0,1,6,0
2,9,30,0,5,20,0
2,9,31,0,2,10,0
2,9,32,0,4,6,0
2,9,33,0,3,17,0
3,1,1,0,3,4,0
3,1,2,0,5,7,0
3,1,3,0,6,18,0
3,1,4,0,2,11,0
3,1,5,1,5,24,0
3,1,6,0,1,11,0
3,1,7,0,3,21,0
3,1,8,0,2,10,0
3,1,9,0,5,10,0
3,1,10,0,2,12,0
3,1,11,0,7,14,0
3,1,12,0,4,6,0
3,1,13,0,5,11,0
3,1,14,0,2,11,0
3,1,15,0,3,12,0
3,1,16,0,2,11,0
3,1,17,0,2,5,0
3,1,18,0,3,5,0
3,1,19,0,5,7,0
3,1,20,0,7,19,0
3,1,21,0,4,9,0
3,1,22,0,6,18,0
3,1,23,0,5,10,0
3,1,24,0,3,11,0
3,1,25,0,7,14,0
3,1,26,0,6,14,0
3,1,27,0,5,17,0
3,1,28,0,2,2,0
3,1,29,0,2,3,0
3,1,30,0,5,7,0
3,1,31,0,7,8,0
3,1,32,0,7,15,0
3,1,33,0,3,2,0
3,2,1,0,3,16,0
3,2,2,0,5,22,0
3,2,3,0,6,7,0
3,2,4,0,2,13,0
3,2,5,0,5,4,1
3,2,6,0,1,4,0
3,2,7,0,3,1,0
3,2,8,0,2,7,0
3,2,9,0,5,9,0
3,2,10,0,2,2,0
3,2,11,0,7,13,0
3,2,12,0,4,9,0
3,2,13,0,5,9,0
3,2,14,0,2,5,0
3,2,15,0,3,13,0
3,2,16,0,2,11,0
3,2,17,0,2,12,0
3,2,18,0,3,12,0
3,2,19,1,5,14,0
3,2,20,0,7,25,0
3,2,21,0,4,7,0
3,2,22,0,6,13,0
3,2,23,0,5,18,0
3,2,24,0,3,11,0
3,2,25,0,7,20,0
3,2,26,0,6,21,0
3,2,27,0,5,3,0
3,2,28,0,2,21,0
3,2,29,0,2,10,0
3,2,30,0,5,14,0
3,2,31,0,7,4,0
3,2,32,0,7,1,0
3,2,33,0,3,13,0
3,3,1,0,3,3,0
3,3,2,0,5,4,0
3,3,3,0,6,9,0
3,3,4,0,2,21,0
3,3,5,0,5,13,1
3,3,6,0,1,9,0
3,3,7,0,3,12,0
3,3,8,0,2,13,0
