Subj,Trial,OptionID,Choice,MFval,MBval,Choice2
5,3,4,0,0,5,0
5,3,5,0,0,4,0
5,3,6,0,0,9,0
5,3,7,0,1,13,0
5,3,8,0,1,1,0
5,3,9,0,1,7,0
5,3,10,0,1,6,0
5,3,11,0,1,11,0
5,3,12,1,0,10,0
5,3,13,0,0,12,0
5,3,14,0,1,8,0
5,4,1,0,0,13,7
5,4,2,0,0,6,0
5,4,3,0,1,1,0
5,4,4,0,0,5,0
5,4,5,0,0,3,0
5,4,6,0,0,7,0
5,4,7,1,1,10,0
5,4,8,0,1,4,0
5,4,9,0,1,2,0
5,4,10,0,1,12,0
5,4,11,0,1,8,0
5,4,12,0,0,9,0
5,4,13,0,0,11,0
5,4,14,0,1,14,0
5,5,1,0,0,9,14
5,5,2,0,0,14,0
5,5,3,0,1,11,0
5,5,4,0,0,6,0
5,5,5,0,0,2,0
5,5,6,0,0,10,0
5,5,7,0,1,4,0
5,5,8,0,1,12,0
5,5,9,0,1,1,0
5,5,10,0,1,3,0
5,5,11,0,1,5,0
5,5,12,0,0,13,0
5,5,13,0,0,7,0
5,5,14,1,1,8,0
5,6,1,0,0,11,7
5,6,2,0,0,7,0
5,6,3,0,1,8,0
5,6,4,0,0,10,0
5,6,5,0,0,3,0
5,6,6,0,0,9,0
5,6,7,1,1,14,0
5,6,8,0,1,12,0
5,6,9,0,1,1,0
5,6,10,0,1,6,0
5,6,11,0,1,2,0
5,6,12,0,0,5,0
5,6,13,0,0,13,0
5,6,14,0,1,4,0
5,7,1,0,0,3,9
5,7,2,0,0,2,0
5,7,3,0,1,9,0
5,7,4,0,0,14,0
5,7,5,0,0,12,0
5,7,6,0,0,1,0
5,7,7,0,1,8,0
5,7,8,0,1,10,0
5,7,9,1,1,13,0
5,7,10,0,1,5,0
5,7,11,0,1,7,0
5,7,12,0,0,11,0
5,7,13,0,0,4,0
5,7,14,0,1,6,0
5,8,1,0,0,11,13
5,8,2,0,0,8,0
5,8,3,0,1,14,0
5,8,4,0,0,5,0
5,8,5,0,0,6,0
5,8,6,0,0,4,0
5,8,7,0,1,7,0
5,8,8,0,1,9,0
5,8,9,0,1,1,0
5,8,10,0,1,13,0
5,8,11,0,1,3,0
5,8,12,0,0,12,0
5,8,13,1,0,10,0
5,8,14,0,1,2,0
6,1,1,1,1,14,1
6,1,2,0,0,3,0
6,1,3,0,1,12,0
