"subject","version","assignmentId","cond","question","question_ind","all_values","question_order","comp_check","comp_check_pass","comp_check_rt","comp_check2","comp_check_pass2","choice","scratch","rt","early1","early2","stamp","id"
"A2I960JYUZ8KAV","cs_wg_full_v2_conf_p","3YHH42UU5BGKUVYZB350HWIMMNW0LQ","memory","Memory","1","[]","1","30","1","23209",,"0","[""sponge"",""balcony"",""eardrum"",""trivia"",""animal"",""friend"",""monkey"",""Can't Remember"",""Can't Remember"",""Can't Remember"",""Can't Remember"",""Can't Remember""]","[""10"",""11"",""12"",""5"",""1"",""7"",""4"",""3"",""9"",""Can't Remember"",""Can't Remember"",""Can't Remember""]","181000",,,"2018-07-02 20:45:50","21957"
"A3IZBLUBBAYCQN","cs_wg_full_v2_conf_p","3OSWBBLG1EY9T9GI1YWJ7XXSNKWXDH","memory","Memory","1","[]","1","30","1","47558",,"0","[""battery"",""dagger"",""balcony"",""smoker"",""animal"",""silver"",""dagger"",""planet"",""banquet"",""barrel"",""addict"",""firefly""]","[""12"",""11"",""10"",""9"",""8"",""7"",""6"",""5"",""4"",""3"",""2"",""1""]","181000",,,"2018-07-02 20:46:00","21958"
"A3HJD15VKJO9V2","cs_wg_full_v2_conf_p","3Q5C1WP23M26ZVGWFZTTEC5Z5OL51R","memory","Memory","1","[]","1","30","1","58561",,"0","[""flight"",""giraffe"",""balcony"",""chicken"",""bullet"",""kidney"",""carrot"",""liquid"",""domino"",""priest"",""beaver"",""abdomen""]","[""12"",""10"",""9"",""8"",""1"",""3"",""5"",""7"",""6"",""4"",""2"",""11""]","181000",,,"2018-07-02 20:46:20","21959"
"A2YLK83DQ6PA5Y","cs_wg_full_v2_conf_p","3JC6VJ2SABK2TJTWBIMMPDY29IP5AD","memory","Memory","1","[]","1","30","1","14091",,"0","[""traffic"",""forgery"",""chimney"",""flight"",""trivia"",""abdomen"",""dollar"",""pickle"",""chorus"",""can't remember"",""can't remember"",""can't remember""]","[""7"",""9"",""3"",""10"",""12"",""11"",""2"",""3"",""5"",""can't remember"",""can't remember"",""can't remember""]","181000",,,"2018-07-02 20:47:31","21960"
"A2YFTTVAH9AFXU","cs_wg_full_v2_conf_p","31LM9EDVOLTHK1269OVLCT17QQKNJ2","memory","Memory","1","[]","1","30","1","11871",,"0","[""tennis"",""silver"",""dragon"",""goggles"",""jacket"",""balcony"",""barrel"",""coffee"",""can't remember"",""can't remember"",""can't remember"",""can't remember""]","[""1"",""2"",""5"",""11"",""12"",""9"",""6"",""10"",""0"",""0"",""0"",""0""]","181000",,,"2018-07-02 20:47:40","21961"
"A3C3TS79TENQS3","cs_wg_full_v2_conf_p","3X66WABAJWJ0PVJVJZQ362BLTHD3GZ","memory","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","42510","0","1","dragon",,"16000",,,"2018-07-02 20:49:33","21962"
"A3C3TS79TENQS3","cs_wg_full_v2_conf_p","3X66WABAJWJ0PVJVJZQ362BLTHD3GZ","memory","Memory","1","[]","1","30","1","51895",,"0","[""dragon"",""fireman"",""coffee"",""royalty"",""eardrum"",""costume"",""monkey"",""forgery"",""baptism"","""","""",""""]","[""9"",""1"",""10"",""11"",""12"",""2"",""7"",""5"",""6"","""","""",""""]","181000",,,"2018-07-02 20:53:27","21963"
"AUODB4IVC82I9","cs_wg_full_v2_conf_p","38BQUHLA9W1P3U83D08Q7ATTKUIMOI","choice-set","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","15","0","20841","15","0",,,"16000",,,"2018-07-02 20:53:28","21964"
"AUODB4IVC82I9","cs_wg_full_v2_conf_p","38BQUHLA9W1P3U83D08Q7ATTKUIMOI","choice-set","choice-set","2","[21,7,15,6,11,5,13,18,14,12,22,9]","2","-1","-1","-1",,"0","[""banquet:false"",""tongue:false"",""peacock:true"",""coffin:false"",""monkey:false"",""celery:false"",""summer:false"",""eardrum:false"",""planet:false"",""goggles:false"",""silver:false"",""casino:false""]",,"4626",,,"2018-07-02 20:53:33","21965"
"A3QDFV8LK9A1HX","cs_wg_full_v2_conf_p","3FE7TXL1LIO2H2HQIVHAH6AVTQL2QH","memory","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","0","0","3637","15","0","qood","woopd","16000",,,"2018-07-02 20:53:41","21966"
"AECDIRXC7CBY2","cs_wg_full_v2_conf_p","3NXNZ5RS1AY3B4XA75NJR21EU6279F","memory","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","56387","0","1",,,"16000",,,"2018-07-02 20:54:59","21967"
